method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
SCINA_sce_scaled_original,KS_sce_scaled_original,,0.610077656237732,0.571140650866087,0.566659175842018,0.718523224118874,0.820397973531257
SCINA_sce_unscaled_original,KS_sce_scaled_original,,0.478595790286276,0.453477668851913,0.407210207593441,0.667293954037957,0.765910743900934
ACDC_sce_scaled_original,KS_sce_unscaled_original,0.557874384522843,0.23790709727772,0.134926033828591,0.112472751200637,0.242743051571365,0.559494956409596
CyCadas_sce_scaled_original,KS_sce_unscaled_original,0.658640781786073,0.56730694868219,0.337378029152239,0.392351634760453,0.613655922629542,0.727474887755503
CyCadas_sce_unscaled_original,KS_sce_unscaled_original,0.658640781786073,0.56730694868219,0.337378029152239,0.392351634760453,0.613655922629542,0.727474887755503
ImmmCellTyper_sce_scaled_original,KS_sce_unscaled_original,,0.481352793093199,0.314106401674349,0.258563709936703,0.322427318625776,0.640464113464465
ImmmCellTyper_sce_unscaled_original,KS_sce_unscaled_original,,0.517197322534829,0.322320879666571,0.253149996712033,0.31706967798282,0.642143574390427
KS_sce_scaled_original,KS_sce_unscaled_original,,0.887909290296982,0.78420593040988,0.890423767870647,0.915498841997269,0.949763971715987
KS_sce_unscaled_original,KS_sce_unscaled_original,1,1,1,1,1,1
Manual_sce_scaled_original,KS_sce_unscaled_original,,0.820623163316303,0.503838475163876,0.574206415727183,0.653219367380694,0.809508665896827
Manual_sce_unscaled_original,KS_sce_unscaled_original,,0.820623163316303,0.503838475163876,0.574206415727183,0.653219367380694,0.809508665896827
SCINA_sce_scaled_original,KS_sce_unscaled_original,,0.613198470568909,0.571732338388659,0.566673762953671,0.717263631418746,0.818821139262981
SCINA_sce_unscaled_original,KS_sce_unscaled_original,,0.472097476104097,0.452849542514458,0.406975184670406,0.665613777932726,0.764463006506677
ACDC_sce_scaled_original,Manual_sce_scaled_original,0.657744952598136,0.30977884818517,0.187104792462553,0.143176003939146,0.285236374898188,0.574544260976241
CyCadas_sce_scaled_original,Manual_sce_scaled_original,0.705527453694641,0.684173259636278,0.391540310560816,0.453931096242368,0.662029151497158,0.759666827478704
CyCadas_sce_unscaled_original,Manual_sce_scaled_original,0.705527453694641,0.684173259636278,0.391540310560816,0.453931096242368,0.662029151497158,0.759666827478704
ImmmCellTyper_sce_scaled_original,Manual_sce_scaled_original,,0.538905124513759,0.261916630260245,0.206623045155256,0.28416806109264,0.615214653437973
ImmmCellTyper_sce_unscaled_original,Manual_sce_scaled_original,,0.581963694287422,0.325786311298946,0.236609300757213,0.309449275050706,0.633970095922373
KS_sce_scaled_original,Manual_sce_scaled_original,,0.817841636349676,0.444116136233725,0.547759954731381,0.628951732098668,0.794588165339805
