method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
ImmCellTyper_sce_unscaled_original,KS_sce_unscaled_original,0.711222162198709,0.316267294238628,0.264320962922881,0.177552631838913,0.30190907522176,0.596537934809796
KS_sce_scaled_original,KS_sce_unscaled_original,,0.887909290296982,0.78420593040988,0.890423767870647,0.915498841997269,0.949763971715987
KS_sce_unscaled_original,KS_sce_unscaled_original,1,1,1,1,1,1
Manual_sce_scaled_original,KS_sce_unscaled_original,0.746256286700355,0.775297107126564,0.481023442482298,0.5284949284393,0.63850706705232,0.784541905379563
Manual_sce_unscaled_original,KS_sce_unscaled_original,0.746256286700355,0.775297107126564,0.481023442482298,0.5284949284393,0.63850706705232,0.784541905379563
SCINA_sce_scaled_original,KS_sce_unscaled_original,,0.613198470568909,0.571732338388659,0.566673762953671,0.717263631418746,0.818821139262981
SCINA_sce_unscaled_original,KS_sce_unscaled_original,,0.472097476104097,0.452849542514458,0.406975184670406,0.665613777932726,0.764463006506677
ACDC_sce_scaled_original,Manual_sce_scaled_original,0.659562021610294,0.267253869791267,0.182578279602269,0.152463922727544,0.219193259336826,0.581582467961304
CyCadas_sce_scaled_original,Manual_sce_scaled_original,0.70568350656124,0.638138099454851,0.379297375491676,0.465438619603265,0.581868936183362,0.761113375101953
CyCadas_sce_unscaled_original,Manual_sce_scaled_original,0.70568350656124,0.638138099454851,0.379297375491676,0.465438619603265,0.581868936183362,0.761113375101953
ImmCellTyper_sce_scaled_original,Manual_sce_scaled_original,0.662365020167122,0.357812210990723,0.234763874625043,0.172922280742771,0.262247871785217,0.594812005643275
ImmCellTyper_sce_unscaled_original,Manual_sce_scaled_original,0.691772302870828,0.339084737364878,0.268386366486107,0.184983395207907,0.269025726944231,0.602458616663442
KS_sce_scaled_original,Manual_sce_scaled_original,,0.773821194688427,0.429034096875115,0.504704601857149,0.596154544660935,0.773992318194278
KS_sce_unscaled_original,Manual_sce_scaled_original,,0.775297107126564,0.481023442482298,0.5284949284393,0.620823073471686,0.78462471303762
Manual_sce_scaled_original,Manual_sce_scaled_original,1,1,1,1,1,1
Manual_sce_unscaled_original,Manual_sce_scaled_original,1,1,1,1,1,1
SCINA_sce_scaled_original,Manual_sce_scaled_original,,0.644266946715851,0.476164750804977,0.461220536946462,0.630611463073795,0.774007284181598
SCINA_sce_unscaled_original,Manual_sce_scaled_original,,0.473377755878026,0.319749678078261,0.273958695091014,0.459076889064392,0.690919380628612
ACDC_sce_scaled_original,Manual_sce_unscaled_original,0.659562021610294,0.267253869791267,0.182578279602269,0.152463922727544,0.219193259336826,0.581582467961304
CyCadas_sce_scaled_original,Manual_sce_unscaled_original,0.70568350656124,0.638138099454851,0.379297375491676,0.465438619603265,0.581868936183362,0.761113375101953
CyCadas_sce_unscaled_original,Manual_sce_unscaled_original,0.70568350656124,0.638138099454851,0.379297375491676,0.465438619603265,0.581868936183362,0.761113375101953
ImmCellTyper_sce_scaled_original,Manual_sce_unscaled_original,0.662365020167122,0.357812210990723,0.234763874625043,0.172922280742771,0.262247871785217,0.594812005643275
ImmCellTyper_sce_unscaled_original,Manual_sce_unscaled_original,0.691772302870828,0.339084737364878,0.268386366486107,0.184983395207907,0.269025726944231,0.602458616663442
KS_sce_scaled_original,Manual_sce_unscaled_original,,0.773821194688427,0.429034096875115,0.504704601857149,0.596154544660935,0.773992318194278
KS_sce_unscaled_original,Manual_sce_unscaled_original,,0.775297107126564,0.481023442482298,0.5284949284393,0.620823073471686,0.78462471303762
Manual_sce_scaled_original,Manual_sce_unscaled_original,1,1,1,1,1,1
Manual_sce_unscaled_original,Manual_sce_unscaled_original,1,1,1,1,1,1
SCINA_sce_scaled_original,Manual_sce_unscaled_original,,0.644266946715851,0.476164750804977,0.461220536946462,0.630611463073795,0.774007284181598
SCINA_sce_unscaled_original,Manual_sce_unscaled_original,,0.473377755878026,0.319749678078261,0.273958695091014,0.459076889064392,0.690919380628612
ACDC_sce_scaled_original,SCINA_sce_scaled_original,0.555362438321361,0.202688445135073,0.187045112588516,0.0747987529706448,0.251916936995678,0.537597051191154
CyCadas_sce_scaled_original,SCINA_sce_scaled_original,0.636190933587666,0.542067731254194,0.471377091140169,0.460645738623729,0.811955966416734,0.753416310268827
CyCadas_sce_unscaled_original,SCINA_sce_scaled_original,0.636190933587666,0.542067731254194,0.471377091140169,0.460645738623729,0.811955966416734,0.753416310268827
ImmCellTyper_sce_scaled_original,SCINA_sce_scaled_original,0.629956455391158,0.288614289689685,0.0916654353694719,0.0405029432032671,0.0989434010668157,0.520394895111847
ImmCellTyper_sce_unscaled_original,SCINA_sce_scaled_original,0.622432004938465,0.259365516656735,0.0917573092977584,0.0364473050775019,0.0966558865386415,0.518311239319232
KS_sce_scaled_original,SCINA_sce_scaled_original,,0.610077656237732,0.571140650866087,0.566659175842018,0.736240391133873,0.797021267639884
KS_sce_unscaled_original,SCINA_sce_scaled_original,,0.613198470568909,0.571732338388659,0.566673762953671,0.73961328828298,0.797023036522296
Manual_sce_scaled_original,SCINA_sce_scaled_original,0.644420481083799,0.644266946715851,0.476164750804977,0.461220536946462,0.653102273622273,0.752093589332983
Manual_sce_unscaled_original,SCINA_sce_scaled_original,0.644420481083799,0.644266946715851,0.476164750804977,0.461220536946462,0.653102273622273,0.752093589332983
SCINA_sce_scaled_original,SCINA_sce_scaled_original,1,1,1,1,1,1
SCINA_sce_unscaled_original,SCINA_sce_scaled_original,,0.636717225391779,0.622012854276633,0.673332174270147,0.819494367693791,0.873671519125568
ACDC_sce_scaled_original,SCINA_sce_unscaled_original,0.514184726241869,0.136718703429328,0.0763093477725991,0.0192152820964947,0.0847606045288039,0.509634046756213
CyCadas_sce_scaled_original,SCINA_sce_unscaled_original,0.606510538402329,0.392551922550831,0.393192839764626,0.317097226902276,0.619870332181985,0.687273781750374
CyCadas_sce_unscaled_original,SCINA_sce_unscaled_original,0.606510538402329,0.392551922550831,0.393192839764626,0.317097226902276,0.619870332181985,0.687273781750374
ImmCellTyper_sce_scaled_original,SCINA_sce_unscaled_original,0.597464567893286,0.269865750419556,0.108488997326209,0.0421761057061436,0.14552383529099,0.521194862718201
ImmCellTyper_sce_unscaled_original,SCINA_sce_unscaled_original,0.597524574537697,0.281333610348998,0.0767508837857919,0.0276456578291385,0.0876941952086897,0.513882822568918
KS_sce_scaled_original,SCINA_sce_unscaled_original,,0.478595790286276,0.453477668851913,0.407210207593441,0.574578504180008,0.715838097768611
KS_sce_unscaled_original,SCINA_sce_unscaled_original,,0.472097476104097,0.452849542514458,0.406975184670406,0.578346771747636,0.71613186069454
Manual_sce_scaled_original,SCINA_sce_unscaled_original,0.585846947284989,0.473377755878026,0.319749678078261,0.273958695091014,0.547604535295781,0.664990622768064
Manual_sce_unscaled_original,SCINA_sce_unscaled_original,0.585846947284989,0.473377755878026,0.319749678078261,0.273958695091014,0.547604535295781,0.664990622768064
SCINA_sce_scaled_original,SCINA_sce_unscaled_original,,0.636717225391779,0.622012854276633,0.673332174270147,0.725005537016733,0.847716512660001
SCINA_sce_unscaled_original,SCINA_sce_unscaled_original,1,1,1,1,1,1
