method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
Manual_sce_unscaled_original,Manual_sce_unscaled_original,1,1,1,1,1,1
SCINA_sce_scaled_original,Manual_sce_unscaled_original,0.833107397275415,0.706711286440185,0.570930326385591,0.501684856303133,0.749748892122231,0.865590417725216
SCINA_sce_unscaled_original,Manual_sce_unscaled_original,0.827277131437029,0.512016655419194,0.429304183319223,0.296162041233626,0.661352427786741,0.820406132639677
ACDC_sce_scaled_original,SCINA_sce_scaled_original,0.64754588975211,0.202688445135073,0.381620157285898,0.0747987529706448,0.514467694919681,0.721702116738092
CyCadas_sce_scaled_original,SCINA_sce_scaled_original,0.811289147680875,0.542067731254194,0.591151762618766,0.460645738623729,0.933692761203164,0.94795271279654
CyCadas_sce_unscaled_original,SCINA_sce_scaled_original,0.811289147680875,0.542067731254194,0.591151762618766,0.460645738623729,0.933692761203164,0.94795271279654
ImmmCellTyper_sce_scaled_original,SCINA_sce_scaled_original,0.795900923355175,0.447727107242259,0.761855132252352,0.0547232024264984,0.70702214622964,0.700334957976143
ImmmCellTyper_sce_unscaled_original,SCINA_sce_scaled_original,0.787969674550015,0.460881833019641,0.74750963069187,0.0543078009333991,0.726107628894983,0.733839562684655
KS_sce_scaled_original,SCINA_sce_scaled_original,0.850300065257192,0.610077656237732,0.632053772322909,0.566659175842018,0.79173348197473,0.89445716960539
KS_sce_unscaled_original,SCINA_sce_scaled_original,0.851262736060732,0.613198470568909,0.631999120182578,0.566673762953671,0.795043527206787,0.894376449859587
Manual_sce_scaled_original,SCINA_sce_scaled_original,0.81108273204086,0.706711286440185,0.570930326385591,0.501684856303133,0.739379572910803,0.863302438699296
Manual_sce_unscaled_original,SCINA_sce_scaled_original,0.81108273204086,0.706711286440185,0.570930326385591,0.501684856303133,0.739379572910803,0.863302438699296
SCINA_sce_scaled_original,SCINA_sce_scaled_original,1,1,1,1,1,1
SCINA_sce_unscaled_original,SCINA_sce_scaled_original,0.894498182425733,0.636717225391779,0.625000623042295,0.673332174270147,0.822829835670373,0.877102061224735
ACDC_sce_scaled_original,SCINA_sce_unscaled_original,0.559608528565816,0.136718703429328,0.236363037600728,0.0192152820964947,0.263574768361458,0.606220898600791
